BCA,220802,.225,.23,.22,.23,102500
BCB,220802,.28,.29,.275,.275,2420710
BCI,220802,.26,.26,.24,.245,940187
BCN,220802,.03,.03,.029,.03,288407
BCNOB,220802,.004,.004,.003,.003,1040000
BCT,220802,.036,.036,.036,.036,265000
BDG,220802,.06,.06,.054,.054,34903
BDM,220802,.14,.155,.14,.155,45428
BDT,220802,.195,.195,.195,.195,8899
BDX,220802,.091,.091,.09,.09,78132
BEAR,220802,8.94,8.95,8.89,8.9,41562
BEM,220802,.093,.094,.091,.091,186590
BEN,220802,10.45,10.67,10.39,10.67,1598778
BENJOG,220802,4.35,4.46,4.34,4.46,11500
BENPG,220802,102.42,105.75,102.42,103.99,2239
BENPH,220802,102.71,103.3,102.71,103.3,4725
BET,220802,.445,.455,.44,.445,2418040
BEX,220802,.022,.024,.021,.021,6470053
BEZ,220802,.035,.035,.035,.035,25000
BFC,220802,.074,.076,.073,.074,342561
BFG,220802,1.165,1.18,1.145,1.18,38124
BFL,220802,5.15,5.15,5,5,2100
BGA,220802,3.45,3.49,3.42,3.48,677840
BGD,220802,.18,.18,.18,.18,55538
BGL,220802,.83,.83,.815,.825,760176
BHP,220802,38.57,38.68,38.19,38.58,8275962
BHPJCC,220802,20.92,20.92,20.92,20.92,1000
BHPJOL,220802,13.98,13.98,13.98,13.98,71
BHPKCC,220802,7.21,7.45,7.06,7.45,34400
BHPKCD,220802,7.85,7.85,7.85,7.85,500
BHPKCG,220802,5.6,5.74,5.6,5.74,2000
BHPKCT,220802,7.4,7.43,7.4,7.43,6500
BHPKOC,220802,13.69,13.76,13.55,13.76,10000
BHPSOB,220802,31.42,31.42,31.42,31.42,160
BHPSOC,220802,23.69,23.69,23.69,23.69,2500
BHYB,220802,9.83,9.83,9.78,9.78,38132
BILL,220802,100.37,100.37,100.34,100.34,35247
BIM,220802,.17,.17,.17,.17,15000
BIO,220802,.09,.09,.088,.088,33106
BIR,220802,.029,.029,.029,.029,344827
BIS,220802,1.875,1.875,1.845,1.845,512
BIT,220802,.06,.06,.057,.06,220815
BKG,220802,.315,.315,.3,.3,303243
BKI,220802,1.75,1.77,1.74,1.76,543021
BKL,220802,75.8,77.72,75.18,77.49,28906
BKT,220802,.17,.17,.165,.167,347040
BKW,220802,21.15,21.39,21.06,21.24,197853
BKY,220802,.34,.34,.34,.34,44809
BLD,220802,2.9,2.91,2.85,2.88,481177
BLG,220802,.025,.025,.024,.025,2567333
BLU,220802,.065,.065,.062,.062,5860578
BLX,220802,2.2,2.25,2.12,2.12,20612
BLZ,220802,.025,.032,.025,.031,1201744
BLZOB,220802,.008,.008,.008,.008,923970
BME,220802,.07,.07,.065,.065,137513
BMG,220802,.032,.032,.032,.032,216666
BML,220802,.22,.22,.21,.215,52482
BMM,220802,.22,.22,.22,.22,27723
BMN,220802,2.16,2.18,2.04,2.09,303271
BMR,220802,.19,.19,.185,.185,302984
BNDS,220802,24.1,24.26,24.1,24.21,23718
BNKS,220802,5.96,5.96,5.87,5.89,33004
BNL,220802,.029,.029,.028,.028,1195858
BNO,220802,.052,.052,.05,.051,12086
BNR,220802,.11,.11,.105,.105,2032721
BNRO,220802,.05,.05,.05,.05,9968
BNZ,220802,.375,.375,.37,.375,59700
BOC,220802,.3,.3,.29,.29,114671
BOD,220802,.1,.105,.1,.1,15962
BOE,220802,2.24,2.38,2.23,2.35,1494699
BOL,220802,.165,.165,.165,.165,522373
BOND,220802,24.81,24.94,24.81,24.94,2877
BOQ,220802,7.4,7.52,7.4,7.52,1777107
BOQKCE,220802,1.61,1.61,1.61,1.61,3257
BOQPE,220802,102.7,102.7,102.11,102.11,1232
BOQPF,220802,102.84,102.85,102.21,102.8,1874
BOT,220802,.08,.081,.079,.081,340964
BPH,220802,.016,.016,.015,.016,1106192
BPM,220802,.165,.165,.165,.165,7507
BPMOA,220802,.02,.02,.02,.02,189614
BPT,220802,1.785,1.807,1.78,1.8,5273985
BRB,220802,.21,.235,.21,.21,218155
BRG,220802,21.2,21.69,21.01,21.62,261130
BRGKOB,220802,6.81,7.06,6.81,7.06,3000
BRK,220802,.017,.018,.016,.016,5193497
BRL,220802,1.01,1.02,1.005,1.005,13262
BRN,220802,1.035,1.065,1.005,1.04,10204750
BRU,220802,.13,.13,.125,.13,800549
BRV,220802,.35,.35,.347,.35,36820
BRX,220802,.335,.335,.325,.33,107322
BRXO,220802,.032,.032,.032,.032,30000
BSAO,220802,.016,.016,.016,.016,206215
BSE,220802,.29,.3,.29,.3,301887
BSL,220802,16.59,16.59,16.08,16.35,1564640
BST,220802,2.5,2.57,2.44,2.5,27938
BSX,220802,.195,.205,.19,.19,1129289
BTH,220802,.695,.72,.685,.695,447349
BTI,220802,1.43,1.44,1.415,1.415,155970
BTR,220802,.02,.02,.018,.018,335804
BUB,220802,.575,.585,.57,.58,2065348
BUX,220802,.088,.088,.088,.088,17800
BUY,220802,.007,.007,.007,.007,637568
BUYO,220802,.004,.004,.004,.004,125000
BVR,220802,.225,.25,.225,.25,91000
BVS,220802,1.525,1.535,1.445,1.455,745099
BWP,220802,4.28,4.28,4.21,4.23,732729
BWX,220802,.7,.72,.68,.69,853309
BXB,220802,11.54,11.63,11.45,11.56,3828531
BYE,220802,.15,.15,.145,.145,532571
BYH,220802,.03,.03,.029,.029,335987
BYHOA,220802,.003,.003,.003,.003,33333
C1X,220802,.15,.16,.15,.16,11250
C2FHA,220802,99.76,99.76,99.55,99.55,150
C6C,220802,1.78,1.805,1.745,1.8,31318
C79,220802,3.72,3.72,3.6,3.63,19452
CAA,220802,8.51,8.52,8,8,20424
CAD,220802,.005,.006,.005,.005,1020000
CADOA,220802,.001,.001,.001,.001,400000
CAE,220802,.225,.23,.22,.23,98637
CAI,220802,.72,.73,.71,.71,677689
CAJ,220802,.28,.28,.275,.275,40834
CAM,220802,.81,.82,.805,.805,37893
CAN,220802,.3,.3,.29,.29,170145
CAR,220802,20.75,21.33,20.68,21.28,1023092
CAT,220802,.95,1,.95,1,52666
CAU,220802,.28,.28,.275,.28,362975
CAV,220802,.007,.007,.006,.006,17630754
CAY,220802,.048,.05,.048,.05,182650
CAZ,220802,.041,.041,.039,.04,350100
CBA,220802,100.99,102.27,100.43,101.97,1905527
CBAJOE,220802,41.3,41.44,41.3,41.44,1000
CBAKCF,220802,21.05,21.05,21.05,21.05,1300
CBAKCT,220802,20.2,20.2,20.2,20.2,500
CBAKOD,220802,26.7,26.7,26.7,26.7,30
CBAKOW,220802,22.65,22.9,22.65,22.9,440
CBAMOP,220802,26.43,26.43,26.43,26.43,200
CBAPD,220802,100.6,100.7,100.521,100.6,94634
CBAPG,220802,103.39,103.39,103.1,103.39,5894
CBAPH,220802,103.01,103.5,103.01,103.37,7531
CBAPI,220802,100.65,100.86,100.58,100.86,11506
CBAPJ,220802,100,100,99.82,99.92,21691
CBAPK,220802,99.18,99.18,98.73,99.05,10825
CBE,220802,.205,.25,.175,.18,21184840
CBH,220802,.17,.17,.165,.17,40000
CBL,220802,.205,.23,.205,.23,4543
CBO,220802,1.41,1.415,1.37,1.4,81945
CBR,220802,.4,.402,.387,.395,225533
CBTC,220802,6.07,6.07,6.07,6.07,159
CCE,220802,.002,.002,.002,.002,694635
CCG,220802,.085,.086,.085,.086,300178
CCP,220802,21.11,23.54,20.31,23.02,1747212
CCPKOB,220802,11.47,11.47,11.47,11.47,500
CCR,220802,.42,.42,.4,.42,52801
CCV,220802,.25,.25,.24,.24,132023
CCX,220802,2.41,2.41,2.24,2.29,1306639
CCZ,220802,.014,.015,.014,.014,1153112
CD1,220802,1.06,1.1,1.05,1.1,9750
CD2,220802,1.38,1.38,1.38,1.38,10000
